Date,Open,High,Low,Close,Vol,BidAsk
2022-09-19 00:00:00,3882.25,3883.0,3882.0,3882.75,62,27
2022-09-19 00:01:00,3882.75,3883.25,3882.5,3883.25,105,37
2022-09-19 00:02:00,3883.25,3883.25,3882.5,3883.0,71,-14
2022-09-19 00:03:00,3883.0,3883.25,3882.5,3882.75,56,9
2022-09-19 00:04:00,3883.0,3883.75,3882.75,3883.0,98,5
2022-09-19 00:05:00,3883.25,3883.25,3882.5,3882.5,69,1
2022-09-19 00:06:00,3882.75,3883.0,3882.5,3882.75,58,23
2022-09-19 00:07:00,3882.75,3882.75,3881.75,3881.75,44,-16
2022-09-19 00:08:00,3882.0,3882.0,3881.25,3881.25,60,-30
2022-09-19 00:09:00,3881.5,3881.5,3881.0,3881.0,44,-7
2022-09-19 00:10:00,3881.0,3881.25,3880.75,3880.75,45,-6
2022-09-19 00:11:00,3880.75,3881.0,3880.0,3880.5,140,-37
2022-09-19 00:12:00,3880.25,3880.25,3879.5,3879.5,44,-12
2022-09-19 00:13:00,3879.75,3879.75,3879.0,3879.25,74,9
2022-09-19 00:14:00,3879.75,3880.25,3879.25,3879.5,96,-31
2022-09-19 00:15:00,3879.75,3880.75,3879.75,3880.5,38,17
2022-09-19 00:16:00,3880.5,3881.25,3880.5,3881.0,76,24
2022-09-19 00:17:00,3881.0,3881.75,3881.0,3881.75,53,26
2022-09-19 00:18:00,3881.75,3881.75,3881.25,3881.5,38,-21
2022-09-19 00:19:00,3881.75,3881.75,3881.5,3881.5,23,3
2022-09-19 00:20:00,3881.25,3882.0,3881.25,3882.0,38,-5
2022-09-19 00:21:00,3882.0,3882.5,3882.0,3882.25,66,14
2022-09-19 00:22:00,3882.5,3883.0,3882.5,3882.5,33,1
2022-09-19 00:23:00,3882.5,3883.0,3882.25,3882.75,39,14
2022-09-19 00:24:00,3882.75,3882.75,3882.5,3882.5,15,-4
2022-09-19 00:25:00,3882.5,3882.75,3881.5,3881.75,61,-33
2022-09-19 00:26:00,3881.75,3881.75,3881.5,3881.5,28,2
2022-09-19 00:27:00,3881.5,3882.25,3881.25,3882.0,64,-4
2022-09-19 00:28:00,3882.0,3882.25,3881.75,3882.0,29,-3
2022-09-19 00:29:00,3882.0,3882.0,3881.25,3881.75,23,-2
2022-09-19 00:30:00,3881.75,3881.75,3881.75,3881.75,8,-2
2022-09-19 00:31:00,3882.25,3883.0,3882.25,3882.75,34,17
2022-09-19 00:32:00,3882.75,3883.0,3882.25,3882.25,35,-22
2022-09-19 00:33:00,3882.0,3882.25,3882.0,3882.25,11,-5
2022-09-19 00:34:00,3882.5,3882.75,3882.5,3882.5,9,3
2022-09-19 00:35:00,3882.75,3883.5,3882.75,3883.5,85,55
2022-09-19 00:36:00,3883.5,3883.5,3882.5,3882.75,59,-29
2022-09-19 00:37:00,3882.75,3882.75,3882.25,3882.5,18,-6
2022-09-19 00:38:00,3882.5,3882.75,3882.5,3882.5,14,0
2022-09-19 00:39:00,3882.25,3882.5,3882.25,3882.5,13,-10
2022-09-19 00:40:00,3882.5,3882.5,3882.0,3882.0,15,-9
2022-09-19 00:41:00,3882.25,3882.25,3882.0,3882.0,14,9
2022-09-19 00:42:00,3882.0,3882.25,3881.75,3882.25,24,0
2022-09-19 00:43:00,3882.0,3882.25,3882.0,3882.0,18,-14
2022-09-19 00:44:00,3882.25,3882.75,3882.25,3882.5,32,10
2022-09-19 00:45:00,3882.25,3882.25,3882.0,3882.25,16,-10
2022-09-19 00:46:00,3882.25,3882.25,3881.25,3881.75,171,-43
2022-09-19 00:47:00,3881.75,3883.0,3881.75,3882.75,84,15
2022-09-19 00:48:00,3882.75,3882.75,3882.25,3882.25,79,-9
2022-09-19 00:49:00,3882.0,3883.0,3882.0,3882.25,85,16
2022-09-19 00:50:00,3882.25,3883.0,3882.25,3882.75,166,34
2022-09-19 00:51:00,3882.5,3882.75,3882.25,3882.5,132,-13
